Species,Egg Style,Egg Clutch,Snout-Vent Length Male,Snout-Vent Length Female,Average Snout-Vent Length Adult,Average Altitude,Average Temperature,Average Rainfall
Allophryne relicta,,,20.9,,20.9,100,24.9,771.36
Allophryne resplendens,,,,,,105,,
Allophryne ruthveni,aquatic,300.0,,,,150,,
Alsodes cantillanensis,aquatic,60.0,45.9,44.2,45.05,789.5,,
Alsodes hugoi,[aquatic],,,,,1508,11.01,
Alsodes norae,,,,,46.0,560,,
Alsodes valdiviensis,aquatic,,49.65,51.55,,,9.04,
Alsodes vanzolinii,aquatic,,44.3,48.55,46.4,375,11.01,1098.54
Eupsophus migueli,terrestrial,24.0,37.75,,37.75,340,9.11,1469.73
Limnomedusa macroglossa,aquatic,,,,46.3,600,,
Alytes almogavarii,terrestrial,,,,50.0,1150,,
Alytes cisternasii,terrestrial,45.0,,,,700,,
Alytes dickhilleni,terrestrial,,,,,1605,14.01,
Alytes maurus,terrestrial,50.0,39.65,41.85,40.75,1125,,
Alytes muletensis,terrestrial,10.0,,,,430,14.01,673.46
Alytes obstetricans,terrestrial,,,,47.0,,,
Discoglossus galganoi,aquatic,900.0,,,,1025,,
Discoglossus montalentii,,,,,,990,11.35,
Discoglossus pictus,aquatic,35.0,,,,750,15.32,
Discoglossus sardus,aquatic,,,,,885,,
Discoglossus scovazzi,aquatic,,62.0,65.0,,1362,,
Latonia nigriventer,aquatic,,,98.7,,65,20.45,
Allobates brunneus,terrestrial,17.0,16.55,17.8,,260,,
Allobates chalcopis,,,17.4,17.25,,1100,26.1,1018.15
Allobates femoralis,terrestrial,13.0,30.5,34.0,32.25,,,
Allobates flaviventris,terrestrial,,18.8,20.4,19.6,150,,
Allobates grillisimilis,terrestrial,10.0,13.9,14.4,14.15,,26.77,2623.92
Allobates ignotus,,,17.35,18.9,,650,24.49,3402.78
Allobates juami,,,17.6,18.0,17.8,87,,2623.92
Allobates magnussoni,terrestrial,,17.84,19.41,18.6225,132,25.57,
Allobates marchesianus,,,,,,400,,
Allobates myersi,terrestrial,,28.0,33.0,30.5,235,,
Allobates olfersioides,,,,,,,,
Allobates ornatus,,,16.9,18.4,17.65,515,19.42,2103.09
Allobates paleovarzensis,terrestrial,29.0,20.35,20.12,20.23,60,25.63,
Allobates sieggreenae,,,15.8,16.3,,,,
Allobates talamancae,terrestrial,19.0,24.0,,24.5,400,24.11,
Allobates wayuu,terrestrial,,15.5,17.75,,495,24.49,3402.78
Allobates zaparo,terrestrial,,28.75,28.5,28.6,600,20.33,
Anomaloglossus moffetti,,,,,,1108,,
Anomaloglossus parkerae,,,19.2,24.2,21.7,,25.94,
Anomaloglossus roraima,terrestrial,5.0,18.75,17.9,,2280,,
Anomaloglossus stepheni,terrestrial,5.0,15.5,17.0,16.25,,26.45,
Aromobates nocturnus,,,,62.0,,2250,,
Mannophryne olmonae,terrestrial,,,21.6,,260,26.48,1399.7
Arthroleptis bioko,terrestrial,,30.05,,30.05,1571,24.47,
Arthroleptis crusculum,terrestrial,,,,,1125,,
Arthroleptis langeri,,,16.2,,,678.5,,1825.76
Arthroleptis nikeae,terrestrial,,,56.29,56.29,1900,,
Arthroleptis nlonakoensis,terrestrial,,19.7,18.95,19.3,450,,1826.87
Arthroleptis palava,,,23.5,26.9,,1450,,
Arthroleptis perreti,terrestrial,,29.5,37.5,33.5,,,1826.87
Arthroleptis poecilonotus,terrestrial,21.0,23.0,,,,,
Arthroleptis pyrrhoscelis,terrestrial,,,,,1580,,
Arthroleptis stenodactylus,terrestrial,57.0,,,,750,,
Astylosternus batesi,aquatic,,50.0,66.0,,500,,
Astylosternus diadematus,aquatic,,47.8,,47.8,675,,
