Species,SVL Male,SVL Female,Average SVL Adult,Egg Clutch,Average Temperature,Average Rainfall,Average Altitude,Egg Style
Allophryne relicta,,,,,,,100.0,0
Allophryne resplendens,,,,,,,105.0,
Allophryne ruthveni,,,,100.0,,,150.0,
Alsodes cantillanensis,,,,,,,789.5,
Alsodes hugoi,,,,,,,1507.5,
Alsodes norae,,,,,,,560.0,0
Alsodes valdiviensis,,,,,,,,
Alsodes vanzolinii,,,,,,,375.0,
Eupsophus migueli,,,,,,,340.0,0
Limnomedusa macroglossa,,,,,,,600.0,
Alytes almogavarii,,,,,,,1150.0,
Alytes cisternasii,,,,89.0,,,700.0,1
Alytes dickhilleni,,,,,,,1605.0,
Alytes maurus,,,,60.0,,,1125.0,1
Alytes muletensis,,,,19.0,18.7,,430.0,
Alytes obstetricans,,,,26.0,,1000.0,1200.0,
Discoglossus galganoi,,,,,,,1025.0,
Discoglossus montalentii,,,,,,,990.0,
Discoglossus pictus,,,,,16.04,1000.0,750.0,
Discoglossus sardus,,,,,,,885.0,0
Discoglossus scovazzi,,,,,20.0,,1362.0,0
Latonia nigriventer,,93.25,,,,,65.0,
Allobates brunneus,,,,,,,260.0,1
Allobates chalcopis,,,,,,,,
Allobates femoralis,,,,16.0,26.4,3153.0,,1
Allobates flaviventris,,,,,,,150.0,1
Allobates grillisimilis,,,,,,,,1
Allobates ignotus,,,,,,,650.0,
Allobates juami,,,,,,,87.0,1
Allobates magnussoni,,,,,,,132.0,1
Allobates marchesianus,,,,,,,,1
Allobates myersi,,,,,,,235.0,1
Allobates olfersioides,,,,,21.5,160.9,,
Allobates ornatus,,,,,,,515.0,
Allobates paleovarzensis,,,,,,,60.0,1
Allobates sieggreenae,,,,,,,,
Allobates talamancae,20.22,22.06,,,,3000.0,400.0,1
Allobates wayuu,,,,,,,495.0,1
Allobates zaparo,,,,,,3200.0,,1
Anomaloglossus moffetti,,,,,,,1108.0,
Anomaloglossus parkerae,,,,,,,,
Anomaloglossus roraima,,,,,,,2280.0,
Anomaloglossus stepheni,,,,,,,,1
Aromobates nocturnus,,,,,,,2250.0,1
Mannophryne olmonae,,,,,,,260.0,1
Arthroleptis bioko,,,,,,,1570.5,
Arthroleptis crusculum,,,,,,,1125.0,1
Arthroleptis langeri,,,,,,,678.5,
Arthroleptis nikeae,,,,,,,1900.0,1
Arthroleptis nlonakoensis,,,,,,,450.0,1
Arthroleptis palava,,,,,,,1450.0,1
Arthroleptis perreti,,,,,,,1796.5,1
Arthroleptis poecilonotus,,,,,,,761.5,1
Arthroleptis pyrrhoscelis,,,,,,,1580.0,
Arthroleptis stenodactylus,,,,,,,750.0,1
Astylosternus batesi,,,,,,,,
Astylosternus diadematus,,,,,,,675.0,
Astylosternus fallax,,,,,,,,
Astylosternus laticephalus,,,,,,,102.5,
Astylosternus laurenti,,,,,,,625.0,
Astylosternus montanus,,,,,,,1464.5,
Astylosternus nganhanus,,,,,,,1500.0,
Astylosternus occidentalis,,,,,,,,
Astylosternus perreti,,,,,,,1455.0,
Astylosternus ranoides,,,,,,,2300.0,
Astylosternus rheophilus,,,,,,,1875.0,
Astylosternus schioetzi,,,,,,,,
Cardioglossa annulata,,,,,,,689.0,
Cardioglossa congolia,,,,,,,494.5,
Cardioglossa occidentalis,,,,,,,325.0,
Leptopelis anchietae,,,,,,,,0
Leptopelis anebos,,,,,,,2062.0,
Leptopelis argenteus,,,,,,,,1
Leptopelis aubryi,,,,,,,,0
Leptopelis aubryioides,,,,,,,500.0,1
Leptopelis bocagii,,,,,,,950.0,
Leptopelis boulengeri,,,,,,,,
Leptopelis brevirostris,,,,,,,,1
Leptopelis broadleyi,,,,,,,,
Leptopelis bufonides,,,,,,,,1
Leptopelis calcaratus,,,,,,,,
Leptopelis christyi,,,,,,,1550.0,1
Leptopelis concolor,,,,,,,,
Leptopelis cynnamomeus,,,,,,,,
Leptopelis fenestratus,,,,,,,1000.0,
Leptopelis fiziensis,,,,,,,1410.0,
Leptopelis flavomaculatus,,,,,,,,0
Leptopelis gramineus,,,,,,,2900.0,0
Leptopelis grandiceps,,,,,,,1140.0,1
Leptopelis karissimbensis,,,,,,,2500.0,
Leptopelis kivuensis,,,,,,,2040.5,1
Leptopelis mackayi,,,,,,,1460.0,
Leptopelis macrotis,,,,,,,400.0,
Leptopelis millsoni,,,,,,,,
Leptopelis modestus,,,,,,,1275.0,
Leptopelis mossambicus,,,,,,,,1
Leptopelis natalensis,,,,200.0,,,,
Leptopelis nordequatorialis,,,,,,,1500.0,
Leptopelis notatus,,,,,,,,
Leptopelis occidentalis,,,,,,,100.0,1
Leptopelis ocellatus,,,,,,,,
Leptopelis oryi,,,,,,,,
Leptopelis palmatus,,,,,,,500.0,
Leptopelis parbocagii,,,,,,,,
Leptopelis parkeri,,,,,,,,1
Leptopelis parvus,,,,,,,1000.0,
Leptopelis ragazzii,,,,,,,2470.0,1
Leptopelis rufus,,,,,,,577.5,
